# id	file_path	transparent_color_r	g	b
[TEXTURES]
0	textures\mario.png	255	255	255
1	textures\mario_greenland.png	255	255	255
41	textures\raccoon_5.png	255	255	255
56	textures\hud.png	255	0	255
999	textures\raccoon_3.png	255	255	255
57	textures\hud_background.png	255	255	255
58	textures\power_state.png	175	232	226
60	textures\WorldMapTileset.png	0	0	255
61	textures\WorldMapTileset1.png	0	0	255
30000	map\tex_GLand.png	255	255	255
# id	left	top	right	bottom	texture_id
[SPRITES]
# id	left	top	right	bottom	texture_id
[SPRITES]
# ====================BIG MARIO ====================
# IDLE_RIGHT
1000	216	154	230	181	0
# IDLE_LEFT
1001	176	154	190	181	0
# WALK_RIGHT
1002	255	154	271	181	0
1003	295	154	311	181	0
# WALK_LEFT
1004	135	154	151	181	0
1005	95	154	111	181	0
# JUMP_RIGHT
1006	335	155	351	181	0
# JUMP_LEFT
1007	55	155	71	181	0
# RUN_RIGHT
1008	213	234	232	261	0
1009	253	234	272	261	0
1010	293	234	312	261	0
# RUN_LEFT
1011	174	234	193	261	0
1012	134	234	153	261	0
1013	94	234	113	261	0
#STOP_RIGHT
1014	215	194	231	222	0
#STOP_LEFT
1015	175	194	191	222	0
#SIT_RIGHT
1016	376	159	390	177	0
#SIT_LEFT
1017	16	159	30	177	0
# JUMP_HIGH_RIGHT
1018	333	275	352	301	0
# JUMP_HIGH_LEFT
1019	54	275	73	301	0
# KICK_RIGHT
1020	252	194	273	222	0
# KICK_LEFT
1021	133	194	154	222	0
# UP/DOWN (CHUI PIPE)
1022	375	194	391	222	0
# IDLE_HOLDING_RIGHT
1023	331	234	345	261	0
# IDLE_HOLDING_LEFT
1026	61	234	76	261	0
# WALK_HOLDING_RIGHT
1024	356	234	370	261	0
1025	381	234	396	261	0
# WALK_HOLDING_LEFT
1027	35	234	50	261	0
1028	10	234	25	261	0


# ==============SMALL MARIO====================
# idle small right
1030	217	0	229	16	0
# idle small left
1031	177	0	189	16	0
# walk_right
1032	256	0	271	16	0
# walk_left
1033	135	0	150	16	0
# JUMP_RIGHT
1034	335	0	351	16	0
# JUMP_LEFT
1035	55	0	71	16	0
# RUN_RIGHT
1036	215	80	231	96	0
1037	255	80	271	96	0
# RUN_LEFT
1038	175	80	191	96	0
1039	135	80	151	96	0
#STOP_RIGHT
1040	216	40	230	56	0
#STOP_LEFT
1041	176	40	190	56	0
# JUMP
1042	215	120	231	136	0
# JUMP
1043	175	120	191	136	0
# JUMP_HIGH_AS_FLY
1044	215	120	231	136	0
# JUMP_HIGH_AS_FLY
1045	175	120	191	136	0
# KICK_RIGHT
1046	255	40	271	56	0
# KICK_LEFT
1047	135	40	151	56	0
